"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"3499","20193666","F","Foreign","25 - 29","FOREIGN / INTERNATIONAL HS","FT","Chevy Chase","MD","20815","N","T","Photography",12,12,4,"Y","N","2020","N","Y"
"3500","20193667","M","Foreign","18 - 20","Damascus High School","PT","Damascus","MD","20872","N",NA,"General Studies",5,0,0,"N","N","2020","N","Y"
"3501","20193668","M","Foreign","18 - 20","Thomas Sprigg Wootton High Sch","FT","Rockville","MD","20850","N","R","Architectural Technology",14,14,4,"N","Y","2020","N","Y"
"3502","20193669","F","Hispanic","18 - 20","Richard Montgomery High School","FT","Rockville","MD","20853","Y","R","Education",16,12,3.5,"Y","N","2020","N","Y"
"3503","20193670","F","Hispanic","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20903","Y","T","Health Sciences",10,10,4,"Y","Y","2020","N","Y"
"3504","20193671","M","Multi-Race","18 - 20","Bethesda Chevy Chase High Schl","FT","Silver Spring","MD","20910","N","T","Business",16,12,3.5,"Y","N","2020","N","Y"
"3505","20193672","F","Black / African Am.","18 - 20","Quince Orchard Sr High School","FT","Gaithersburg","MD","20878","Y","T","Business",13,9,2.67,"Y","N","2020","N","Y"
"3506","20193673","F","White","< 18","** HOME SCHOOLED **","PT","Silver Spring","MD","20906","N","R","Photography",6,0,0,"N","N","2020","N","Y"
"3507","20193674","M","Asian","18 - 20","Watkins Mill High School","FT","Montgomery Village","MD","20886","Y","G","Science",13,0,0,"N","N","2020","N","Y"
"3508","20193675","M","Black / African Am.","18 - 20","Paint Branch High School","PT","Silver Spring","MD","20904","Y","R","Business",9,3,3,"N","N","2020","N","Y"
"3509","20193676","M","Multi-Race","18 - 20","Thomas Sprigg Wootton High Sch","FT","Gaithersburg","MD","20878","N","R","Computer Science",17,13,3.23,"N","Y","2020","N","Y"
"3510","20193677","F","Hispanic","18 - 20","Springbrook Sr High School","FT","Silver Spring","MD","20904","Y","T","General Studies",20,20,3.5,"Y","Y","2020","N","Y"
"3511","20193678","M","Black / African Am.","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Rockville","MD","20852","Y","T","Cybersecurity",20,0,0,"N","N","2020","N","Y"
"3512","20193679","F","Hispanic","18 - 20","Northwood High School","FT","Silver Spring","MD","20901","Y","T","General Studies",15,7,2.86,"Y","N","2020","N","Y"
"3513","20193680","M","Black / African Am.","18 - 20","Montgomery Blair High School","PT","Silver Spring","MD","20903","Y","R","Business",9,0,0,"N","N","2020","N","Y"
"3514","20193681","M","Black / African Am.","18 - 20","Springbrook Sr High School","PT","Silver Spring","MD","20904","N","T","Cybersecurity",11,3,1.5,"N","N","2020","N","Y"
"3515","20193682","M","Black / African Am.","18 - 20","Bethesda Chevy Chase High Schl","FT","Silver Spring","MD","20910","Y","R","General Studies",13,9,1.67,"N","Y","2020","N","Y"
"3516","20193683","F","Black / African Am.","18 - 20","Unknown","PT","Gaithersburg","MD","20879","N","R","Business",13,13,3.31,"Y","Y","2020","N","Y"
"3517","20193684","M","White","18 - 20","** HOME SCHOOLED **","PT","Stafford","VA","22556","N","R","Art",8,3,3,"N","N","2020","N","Y"
"3518","20193685","M","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","PT","Silver Spring","MD","20902","N","R","Building Trade",9,3,2,"N","N","2020","N","Y"
"3519","20193686","F","White","18 - 20","Out of State High School","PT","Silver Spring","MD","20905","N","T","Education",10,10,3.7,"Y","N","2020","N","Y"
"3520","20193687","F","Hispanic","18 - 20","Montgomery Blair High School","PT","Silver Spring","MD","20903","N","T","General Studies",6,0,0,"N","N","2020","N","Y"
"3521","20193688","F","Black / African Am.","18 - 20","Springbrook Sr High School","PT","Silver Spring","MD","20901","Y","T","Health Sciences",10,4,2.25,"N","N","2020","N","Y"
"3522","20193689","F","Asian","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20882","N","R","Health Sciences",33,30,3.59,"Y","N","2020","N","Y"
"3523","20193690","F","Black / African Am.","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","Y","R","General Studies",13,6,2.5,"Y","N","2020","N","Y"
"3524","20193691","M","Black / African Am.","30 +","Out of State High School","FT","Silver Spring","MD","20906","N","R","General Studies",10,6,1.5,"N","N","2020","N","Y"
"3525","20193692","M","White","18 - 20","Sherwood High School","FT","Gaithersburg","MD","20879","Y","R","Computer Science",26,26,2.36,"Y","Y","2020","N","Y"
"3526","20193693","M","Black / African Am.","18 - 20","Montgomery Blair High School","PT","Takoma Park","MD","20912","Y","T","Computer Science",9,1,4,"N","N","2020","N","Y"
